objects,cumulative_bytes
2497,529169
2498,529356
2499,529543
2500,529762
2501,529981
2502,530200
2503,530419
2504,530638
2505,530825
2506,531044
2507,531263
2508,531482
2509,531701
2510,531920
2511,532107
2512,532326
2513,532545
2514,532764
2515,532983
2516,533202
2517,533389
2518,533576
2519,533763
2520,533982
2521,534201
2522,534420
2523,534639
2524,534858
2525,535045
2526,535264
2527,535483
2528,535702
2529,535921
2530,536140
2531,536327
2532,536546
2533,536765
2534,536984
2535,537203
2536,537422
2537,537609
2538,537828
2539,538047
2540,538266
2541,538485
2542,538704
2543,538891
2544,539110
2545,539297
2546,539516
2547,539735
2548,539954
2549,540173
2550,540392
2551,540579
2552,540798
2553,541017
2554,541236
2555,541455
2556,541674
2557,541861
2558,542080
2559,542299
2560,542518
2561,542737
2562,542956
