fraction,coverage,ci_low,ci_high,successes,n
0.1,0.3328804347826087,0.2997798486115815,0.36771654521109626,245,736
0.25,0.6644021739130435,0.6295117452539541,0.6975852982212979,489,736
0.5,0.9429347826086957,0.9237621092886126,0.9575076111488434,694,736
0.75,0.9959239130434783,0.988084853094291,0.9986128400335355,733,736
1.0,1.0,0.9948075371809318,1.0,736,736
