constraint,generate_us_mean,generate_us_median,generate_us_ci_low,generate_us_ci_high,verify_us_mean,verify_us_median,verify_us_ci_low,verify_us_ci_high,iterations
spatial,1.893333999760216,1.4170000213198364,1.291002263315022,4.499998067331035,1137.5644679828838,1114.3120027554687,1078.3750039990991,1292.7552243127138,2000
temporal,1.998630046728067,1.5420009731315076,1.3329990906640887,4.5000051613897085,1158.8163029700809,1132.9164990456775,1089.2343745581456,1303.1656233579267,2000
quantity,1.9281335989944637,1.5420009731315076,1.2919990695081651,4.37602902820799,1147.02840154132,1135.9790005371906,1080.4580015246756,1265.5430246013566,2000
quality,2.099390589137329,1.5419936971738935,1.2919990695081651,4.749999789055437,1207.9433251310547,1145.4369996499736,1092.4138554400997,1434.6968777317666,2000
regulatory,1.949128978594672,1.45800004247576,1.2919990695081651,4.624999019142706,1170.9240435011452,1123.229001677828,1084.0410031960346,1336.865953635424,2000
