bits,proof_size_bytes,prove_ms_mean,prove_ms_median,prove_ms_ci_low,prove_ms_ci_high,verify_ms_mean,verify_ms_median,verify_ms_ci_low,verify_ms_ci_high,iterations
16,28672,2125.249958300992,2120.9586250042776,2107.9635200456323,2163.5821906251294,2142.2414501023013,2131.531500002893,2115.0189500733177,2209.221475004597,10
32,57344,4269.411687600223,4255.032458499045,4208.337211980324,4388.491778124626,4269.822433399531,4263.976937501866,4243.023061972235,4326.916587047526,10
