h,coverage,ci_low,ci_high,successes,n,predicted,predicted_low,predicted_high
1,0.501358695652174,0.46532240020373333,0.537380881147302,369,736,0.501358695652174,0.4653224002037333,0.537380881147302
2,0.7527173913043478,0.7202890059244732,0.7825213253680628,554,736,0.7513568495982987,0.7141198642761033,0.7859835508719533
3,0.8614130434782609,0.8345684180455989,0.8845044213297485,634,736,0.876016255166543,0.8471462952017159,0.9009918988843998
4,0.9429347826086957,0.9237621092886126,0.9575076111488434,694,736,0.9381765837583169,0.9182725479984863,0.9541969595026222
6,0.9850543478260869,0.9734369096986623,0.991634532620883,725,736,0.9846280310170722,0.976635744929439,0.9901973959134831
8,1.0,0.9948075371809318,1.0,736,736,0.9961778652042076,0.9933206235893403,0.9979020814811955
